interface,task,seed,success,score,total_return,final_object_x,final_object_y,final_object_z,max_object_z,errors
waypoint,lift,0,True,1.8,0.83,0.008217701688408852,-0.013812797144055367,0.10499999672174454,0.105,
script_dsl,lift,0,True,1.8,1.04,0.008217701688408852,-0.013812797144055367,0.10499999672174454,0.105,
hybrid,lift,0,True,1.8,1.2,0.008181096985936165,-0.013751267455518246,0.10499999672174454,0.105,
latent_stub,lift,0,True,1.8,1.28,0.0017094304785132408,-0.0028733115177601576,0.10499999672174454,0.105,
waypoint,push,0,True,1.9231,0.63,-0.039893489331007004,-0.06983470916748047,0.08399999886751175,0.084,
script_dsl,push,0,False,0.1,0.91,0.0030056023970246315,-0.019881900399923325,0.09000000357627869,0.09,
hybrid,push,0,False,0.0439,0.337,0.0009288738947361708,-0.012531961314380169,0.0989999994635582,0.099,
latent_stub,push,0,False,0.0,0.0,0.008217701688408852,-0.013812797144055367,0.02500000037252903,0.025,
